Epochs,Activation Function,Number of LSTM Units,Number of Hidden Layers,Dropout Rate,MSE,RMSE,MAE,R2
50,relu,32,1,0.2,1.132743686,1.06430432,0.85782903,0.703410243
100,relu,32,1,0.2,0.973332694,0.986576248,0.787073414,0.745149313
150,relu,32,1,0.2,0.803465462,0.89636235,0.715212328,0.789626171
200,relu,32,1,0.2,0.846768359,0.920200174,0.753461134,0.778288041
250,relu,32,1,0.2,1.046191843,1.022835198,0.826378101,0.726072378
300,relu,32,1,0.2,0.861018519,0.927910836,0.772394743,0.774556878
350,relu,32,1,0.2,0.876448887,0.936188489,0.767555461,0.770516697
400,relu,32,1,0.2,0.856654334,0.92555623,0.752393217,0.775699566
450,relu,32,1,0.2,0.899649012,0.948498293,0.779490704,0.764442137
500,relu,32,1,0.2,1.018336799,1.009126751,0.81737099,0.73336575
550,relu,32,1,0.2,0.979310616,0.989601241,0.796945337,0.743584095
600,relu,32,1,0.2,0.888686437,0.942701669,0.781385674,0.767312502
650,relu,32,1,0.2,0.996270073,0.998133294,0.809934034,0.739143548
700,relu,32,1,0.2,1.256752658,1.121049802,0.892498754,0.670940593
750,relu,32,1,0.2,1.131907428,1.063911382,0.83894695,0.703629203
800,relu,32,1,0.2,0.942703533,0.970929211,0.791994269,0.75316904
850,relu,32,1,0.2,0.901701497,0.949579642,0.786227693,0.763904729
900,relu,32,1,0.2,1.092703672,1.045324673,0.829863776,0.713894043
950,relu,32,1,0.2,0.975536353,0.987692439,0.794750598,0.744572322
1000,relu,32,1,0.2,0.891637382,0.944265525,0.761596751,0.766539847
1100,relu,32,1,0.2,0.996218817,0.998107618,0.80360746,0.739156969
1200,relu,32,1,0.2,0.885598857,0.941062621,0.754845051,0.768120932
1300,relu,32,1,0.2,1.342007399,1.15845043,0.907500213,0.648618083
1400,relu,32,1,0.2,0.970779409,0.985281386,0.795866769,0.745817847
1500,relu,32,1,0.2,1.178946223,1.085792901,0.858705278,0.691312891
1600,relu,32,1,0.2,0.901903367,0.949685931,0.781505884,0.763851873
1700,relu,32,1,0.2,0.889654365,0.943214909,0.780962548,0.767059066
1800,relu,32,1,0.2,0.882504193,0.939416943,0.752247038,0.768931218
1900,relu,32,1,0.2,1.12267463,1.059563415,0.827707683,0.706046655
2000,relu,32,1,0.2,0.924974961,0.961756186,0.771328481,0.757810966
2100,relu,32,1,0.2,0.852633491,0.923381552,0.747065487,0.776752355
2200,relu,32,1,0.2,1.006536212,1.003262783,0.797891395,0.736455534
2300,relu,32,1,0.2,0.875106011,0.93547101,0.750244408,0.770868307
2400,relu,32,1,0.2,0.871016243,0.93328251,0.76433724,0.771939143
2500,relu,32,1,0.2,1.038743998,1.019187911,0.822962636,0.72802247
2600,relu,32,1,0.2,0.91744957,0.957835878,0.79545321,0.759781363
2700,relu,32,1,0.2,1.005932499,1.002961863,0.790201765,0.736613606
2800,relu,32,1,0.2,0.95439016,0.976928943,0.781936093,0.750109094
2900,relu,32,1,0.2,0.892161692,0.944543113,0.76386493,0.766402565
3000,relu,32,1,0.2,0.999791279,0.999895634,0.818997818,0.73822158
3500,relu,32,1,0.2,1.08174352,1.040068998,0.842980519,0.716763773
3600,relu,32,1,0.2,1.070559774,1.034678585,0.849898931,0.719692048
3700,relu,32,1,0.2,1.060410752,1.029762473,0.8319929,0.722349398
3800,relu,32,1,0.2,1.095938366,1.046870749,0.835127683,0.713047093
3900,relu,32,1,0.2,0.892820835,0.94489197,0.765538486,0.76622998
4000,relu,32,1,0.2,0.923945812,0.961221001,0.795329408,0.758080432
4100,relu,32,1,0.2,0.952600758,0.976012683,0.809836164,0.750577619
4200,relu,32,1,0.2,0.909374636,0.953611365,0.786865019,0.761895647
4300,relu,32,1,0.2,1.015599839,1.007769735,0.794937457,0.734082376
4400,relu,32,1,0.2,0.962005067,0.98081857,0.797730751,0.74811526
4500,relu,32,1,0.2,1.208568606,1.099349174,0.889258587,0.683556772
4600,relu,32,1,0.2,0.976833515,0.988348883,0.801489946,0.744232682
4700,relu,32,1,0.2,0.956099785,0.977803551,0.774477847,0.749661458
4800,relu,32,1,0.2,1.077467993,1.038011557,0.821853652,0.717883248
4900,relu,32,1,0.2,1.03255799,1.016148606,0.791708445,0.729642172
5000,relu,32,1,0.2,1.028566015,1.014182437,0.813648097,0.730687403
5500,relu,32,1,0.2,0.90310112,0.950316326,0.765208655,0.763538261
6000,relu,32,1,0.2,1.004090067,1.002042947,0.802713443,0.737096015
6500,relu,32,1,0.2,0.981984558,0.99095134,0.79911763,0.742883969
7000,relu,32,1,0.2,0.966048121,0.98287747,0.784886861,0.747056655
50,relu,64,1,0.2,1.060927255,1.030013231,0.808306356,0.72221416
100,relu,64,1,0.2,1.067291144,1.033097839,0.841816473,0.720547883
150,relu,64,1,0.2,0.917709816,0.95797172,0.799163439,0.759713221
200,relu,64,1,0.2,0.966009737,0.982857944,0.820275078,0.747066705
250,relu,64,1,0.2,1.307041683,1.143259237,0.887178757,0.657773264
300,relu,64,1,0.2,0.910561171,0.95423329,0.766689076,0.761584973
350,relu,64,1,0.2,0.922058699,0.960238876,0.788380074,0.75857454
400,relu,64,1,0.2,0.903216826,0.950377202,0.77671283,0.763507966
450,relu,64,1,0.2,0.905395442,0.951522697,0.778252694,0.762937532
500,relu,64,1,0.2,0.952071114,0.975741315,0.783016316,0.750716298
550,relu,64,1,0.2,0.953268718,0.976354812,0.79166842,0.750402725
600,relu,64,1,0.2,0.839184862,0.916070337,0.736346733,0.780273651
650,relu,64,1,0.2,0.943045184,0.971105135,0.779372625,0.753079584
700,relu,64,1,0.2,0.938632043,0.968830245,0.784964619,0.754235091
750,relu,64,1,0.2,0.898322125,0.947798568,0.766923527,0.76478956
800,relu,64,1,0.2,0.888063365,0.94237114,0.76104497,0.767475643
850,relu,64,1,0.2,0.896954647,0.947076896,0.764304541,0.765147611
900,relu,64,1,0.2,0.865636927,0.930396113,0.768867215,0.773347626
950,relu,64,1,0.2,1.052050654,1.025695205,0.824745331,0.724538348
1000,relu,64,1,0.2,0.830541155,0.911340307,0.738435264,0.78253686
1100,relu,64,1,0.2,1.125722267,1.061000597,0.853481598,0.705248683
1200,relu,64,1,0.2,0.98837383,0.99416992,0.810376252,0.741211046
1300,relu,64,1,0.2,0.956172346,0.977840655,0.785789661,0.749642459
1400,relu,64,1,0.2,0.861052733,0.927929271,0.73614457,0.77454792
1500,relu,64,1,0.2,0.883699908,0.940053141,0.781016008,0.76861814
1600,relu,64,1,0.2,0.904384867,0.950991518,0.778350943,0.763202134
1700,relu,64,1,0.2,0.897198489,0.947205621,0.761176843,0.765083765
1800,relu,64,1,0.2,0.89680069,0.946995612,0.784459945,0.765187922
1900,relu,64,1,0.2,1.087508225,1.042836624,0.842587444,0.715254383
2000,relu,64,1,0.2,0.847156798,0.920411211,0.749525163,0.778186335
2100,relu,64,1,0.2,0.965950941,0.982828032,0.799646063,0.7470821
2200,relu,64,1,0.2,0.913151072,0.955589385,0.755453052,0.760906851
2300,relu,64,1,0.2,1.366580612,1.169008388,0.919677022,0.642184003
2400,relu,64,1,0.2,0.899571356,0.948457356,0.765131626,0.76446247
2500,relu,64,1,0.2,0.817924849,0.904391978,0.736763336,0.785840226
2600,relu,64,1,0.2,0.920097159,0.959216951,0.774037607,0.759088136
2700,relu,64,1,0.2,0.834764491,0.91365447,0.737379219,0.781431051
2800,relu,64,1,0.2,0.945247003,0.972238141,0.785064366,0.752503075
2900,relu,64,1,0.2,0.952413087,0.975916537,0.775323034,0.750626758
3000,relu,64,1,0.2,0.903642308,0.950601025,0.790419817,0.76339656
3500,relu,64,1,0.2,1.038632251,1.019133088,0.811988458,0.728051729
3600,relu,64,1,0.2,0.910431003,0.954165081,0.797071346,0.761619056
3700,relu,64,1,0.2,1.107397382,1.052329503,0.847658721,0.710046744
3800,relu,64,1,0.2,0.868737633,0.93206096,0.764481968,0.772535759
3900,relu,64,1,0.2,0.962637667,0.981141003,0.801204423,0.747949624
4000,relu,64,1,0.2,0.930037366,0.96438445,0.768192817,0.756485461
4100,relu,64,1,0.2,0.903102257,0.950316925,0.767936034,0.763537964
4200,relu,64,1,0.2,0.90510687,0.951371048,0.761209604,0.76301309
4300,relu,64,1,0.2,0.860960063,0.927879337,0.763121885,0.774572184
4400,relu,64,1,0.2,0.91475095,0.956426134,0.774860587,0.76048795
4500,relu,64,1,0.2,0.973858467,0.986842676,0.798409088,0.745011648
4600,relu,64,1,0.2,0.927314953,0.962971938,0.794397961,0.757198279
4700,relu,64,1,0.2,0.882272244,0.939293481,0.77242924,0.76899195
4800,relu,64,1,0.2,0.974460012,0.987147412,0.774071305,0.744854144
4900,relu,64,1,0.2,1.072852977,1.035786164,0.827662173,0.719091612
5000,relu,64,1,0.2,0.895122493,0.946109134,0.773360923,0.76562733
5500,relu,64,1,0.2,0.971968567,0.985884662,0.801670453,0.745506486
6000,relu,64,1,0.2,0.923880813,0.961187189,0.77376025,0.758097451
6500,relu,64,1,0.2,0.970881108,0.985332993,0.801904345,0.745791219
7000,relu,64,1,0.2,0.971921162,0.98586062,0.789951343,0.745518898
50,relu,128,1,0.2,0.85367973,0.923947904,0.756516234,0.776478416
100,relu,128,1,0.2,0.854013503,0.92412851,0.753543694,0.776391023
150,relu,128,1,0.2,0.893550489,0.945277996,0.770676336,0.766038932
200,relu,128,1,0.2,0.865955954,0.930567544,0.758754046,0.773264094
250,relu,128,1,0.2,0.887063783,0.941840636,0.757115148,0.767737367
300,relu,128,1,0.2,0.947748554,0.973523782,0.799407163,0.751848087
350,relu,128,1,0.2,0.932376289,0.965596338,0.784398084,0.755873054
