epochs,Mean Absolute Error (MAE),Mean Squared Error (MSE),Root Mean Squared Error (RMSE),R-squared (R^2) Score,Cosine Similarity
10,1.2118478135027404,2.429549027483691,1.558701070598109,0.5317105362766645,0.9588417605240693
50,0.8007982702900963,1.171285516848338,1.0822594498771254,0.7820430093945634,0.9807543248220282
100,0.7691556728710212,1.038467801237849,1.0190524035778774,0.8066452816207543,0.9829224397110893
150,0.7808963689935906,1.09106854722535,1.0445422668448368,0.7968514272375676,0.9820195134875735
200,0.7806681624313645,1.0625935764611194,1.0308217966560076,0.8021532478105428,0.9825133747058423
250,0.7903248192074908,1.0887392496180355,1.0434266862688704,0.7972851245388677,0.9820778321317302
300,0.7638735497711976,1.0096929904235434,1.0048348075298463,0.8120029301051697,0.9834122514830368
350,0.8150309438476226,1.1751450011351283,1.0840410514067853,0.781324822779654,0.9807035732390199
400,0.7844649273663326,1.0967813674028095,1.0472733011983115,0.7957877440542785,0.9819620863144184
450,0.8117190910840705,1.2001708991668059,1.095523116673859,0.7766679143284507,0.9802756321094096
500,0.7947421085624098,1.135793614589823,1.0657361843297914,0.7886474692771916,0.981384664538617
550,0.8090895213927737,1.223246895586535,1.1060049256610638,0.7723738505305824,0.979925728699286
600,0.8148755215736126,1.210673953708417,1.1003062999494355,0.7747134684421787,0.9801001511752641
650,0.7948623349445504,1.1551460012710857,1.0747771868024951,0.7850463080731921,0.9810471849133162
700,0.7625736269193455,1.023271368013043,1.0115687658350483,0.8094747406208783,0.983156197110352
750,0.7856749561620399,1.1321514360795706,1.0640260504703682,0.7893252188573951,0.9814148158314997
800,0.7751248736717741,1.1408567057671701,1.0681089390915002,0.7877053111950658,0.9812622483158424
850,0.7916598512830657,1.1513426313406425,1.073006351957267,0.7857540527283374,0.9810927161172779
900,0.7794753033881904,1.0472670774188582,1.0233606780694957,0.8050069240656215,0.9827944964615757
950,0.8043895906191741,1.1879331316744857,1.0899234522086796,0.7789451617937249,0.9804830497192569
1000,0.7732735946928078,1.0482740436731839,1.0238525497712958,0.8048194346930184,0.9827767585071732
