Date,Value
Dec-93,4.961219538
Jan-94,6.067698973
Apr-94,8.582625225
May-94,7.185564529
Jun-94,8.623408485
Jul-94,0.971962926
Aug-94,2.897955167
Oct-94,2.922320937
Nov-94,2.077940396
Jan-96,4.482953272
May-96,7.393985418
Aug-96,2.227138053
Nov-96,3.804671348
Dec-96,5.910507074
Jan-97,3.894123925
May-97,8.582043333
Jun-97,8.091754103
Jul-97,1.135437477
Aug-97,1.108034604
Sep-97,2.59024265
Oct-97,3.155565931
Nov-97,2.676031512
Dec-97,4.66511756
Jan-98,4.459318835
Feb-98,4.035720536
May-98,6.987003206
Jun-98,8.08673714
Jul-98,1.940617656
Aug-98,3.67470253
Sep-98,2.155835825
Oct-98,3.515996844
Nov-98,2.571086556
Dec-98,3.860825345
Jan-99,4.399963876
May-99,6.545095999
Jun-99,8.065757224
Jul-99,2.471444514
Aug-99,1.970499432
Sep-99,2.227138754
Oct-99,3.501974621
Nov-99,3.039222009
Dec-99,4.460549618
Jan-00,5.919249855
May-00,6.680534774
Jun-00,5.932912518
Aug-00,1.870366781
Oct-00,4.897739769
Nov-00,2.834880193
Dec-00,7.141786824
Jan-01,5.980182568
May-01,9.186999127
Jun-01,8.020978636
Aug-01,1.112357509
Oct-01,4.245957423
Nov-01,4.598763228
Dec-01,5.784605458
Jan-02,6.350546115
Apr-02,8.110394985
May-02,8.840942881
Jun-02,7.19231734
Aug-02,2.66378295
Oct-02,3.657591949
Nov-02,4.80801521
Dec-02,4.746880126
Jan-03,4.763073863
May-03,6.501389195
Aug-03,2.029524427
Sep-03,3.30375116
Oct-03,3.426583038
Nov-03,3.72609478
Dec-03,4.700692232
Jan-04,4.961434066
May-04,6.720006301
Jun-04,5.399587631
Aug-04,2.339075339
Oct-04,3.466501513
Nov-04,4.024236263
Dec-04,5.002544981
Jan-05,6.036273179
May-05,7.139434777
Jun-05,8.637504828
Aug-05,1.580529222
Nov-05,2.988552656
Jan-06,5.310556187
May-06,8.612413426
Aug-06,1.727605087
Nov-06,3.505095704
Jan-07,5.904391463
May-07,9.570826261
Aug-07,1.870061022
Nov-07,3.053749851
Jan-08,5.653603633
May-08,7.50849845
Aug-08,2.177192377
Nov-08,3.92987129
Jan-09,5.54352731
May-09,8.418584772
Aug-09,2.034580322
Nov-09,3.552682114
Dec-09,5.558806698
Jan-10,5.553743276
May-10,6.099961123
Jun-10,8.02544487
Aug-10,2.20640255
Nov-10,2.991113095
Jan-11,4.149821619
May-11,7.358447806
Aug-11,1.379280016
Nov-11,3.858040254
Jan-12,3.937996116
May-12,6.825621823
Jun-12,7.228865557
Aug-12,2.550175588
Sep-12,2.881577789
Oct-12,2.987415723
Nov-12,3.048699499
Dec-12,5.18730324
Jan-13,4.320617376
May-13,5.464453354
Jun-13,6.53794106
Aug-13,0.772674201
Sep-13,1.460593536
Oct-13,2.08801542
Nov-13,3.837208511
Dec-13,4.889526431
Jan-14,4.154291563
May-14,7.366914072
Aug-14,2.08246089
Oct-14,1.768433309
Nov-14,3.594040764
Dec-14,4.291843948
Jan-15,2.822963275
May-15,7.090030194
Jul-15,8.302513582
Aug-15,1.562307235
Oct-15,2.741947858
Nov-15,2.909604904
Dec-15,4.290953256
Jan-16,6.420215271
Feb-16,6.119695643
May-16,7.474214317
Aug-16,3.06522052
Oct-16,3.350703401
Nov-16,2.802975391
Dec-16,4.399303379
Jan-17,5.157345919
May-17,7.766016302
Aug-17,2.312717366
Nov-17,3.771232778
Dec-17,4.488173663
Jan-18,5.238687042
May-18,7.058501124
Jul-18,4.988190428
Aug-18,1.918106178
Oct-18,3.807451105
Nov-18,4.122922905
Dec-18,4.017342861
Jan-19,4.772246455
May-19,6.795454163
Jul-19,3.513799193
Aug-19,3.015237574
Sep-19,1.856542633
Nov-19,3.055539388
Dec-19,2.867087069
Jan-20,3.233698265
