Dates,Current Level
12-1993,4.961219538
01-1994,6.067698973
02-1994,-
03-1994,-
04-1994,8.582625225
05-1994,7.185564529
06-1994,8.623408485
07-1994,0.971962926
08-1994,2.897955167
09-1994,-
10-1994,2.922320937
11-1994,2.077940396
12-1994,-
01-1995,-
02-1995,-
03-1995,-
04-1995,-
05-1995,-
06-1995,-
07-1995,-
08-1995,-
09-1995,-
10-1995,-
11-1995,-
12-1995,-
01-1996,4.482953272
02-1996,-
03-1996,-
04-1996,-
05-1996,7.393985418
06-1996,-
07-1996,-
08-1996,2.227138053
09-1996,-
10-1996,-
11-1996,3.804671348
12-1996,5.910507074
01-1997,3.894123925
02-1997,-
03-1997,-
04-1997,-
05-1997,8.582043333
06-1997,8.091754103
07-1997,1.135437477
08-1997,1.108034604
09-1997,2.59024265
10-1997,3.155565931
11-1997,2.676031512
12-1997,4.66511756
01-1998,4.459318835
02-1998,4.035720536
03-1998,-
04-1998,-
05-1998,6.987003206
06-1998,8.08673714
07-1998,1.940617656
08-1998,3.67470253
09-1998,2.155835825
10-1998,3.515996844
11-1998,2.571086556
12-1998,3.860825345
01-1999,4.399963876
02-1999,-
03-1999,-
04-1999,-
05-1999,6.545095999
06-1999,8.065757224
07-1999,2.471444514
08-1999,1.970499432
09-1999,2.227138754
10-1999,3.501974621
11-1999,3.039222009
12-1999,4.460549618
01-2000,5.919249855
02-2000,-
03-2000,-
04-2000,-
05-2000,6.680534774
06-2000,5.932912518
07-2000,-
08-2000,1.870366781
09-2000,-
10-2000,4.897739769
11-2000,2.834880193
12-2000,7.141786824
01-2001,5.980182568
02-2001,-
03-2001,-
04-2001,-
05-2001,9.186999127
06-2001,8.020978636
07-2001,-
08-2001,1.112357509
09-2001,-
10-2001,4.245957423
11-2001,4.598763228
12-2001,5.784605458
01-2002,6.350546115
02-2002,-
03-2002,-
04-2002,8.110394985
05-2002,8.840942881
06-2002,7.19231734
07-2002,-
08-2002,2.66378295
09-2002,-
10-2002,3.657591949
11-2002,4.80801521
12-2002,4.746880126
01-2003,4.763073863
02-2003,-
03-2003,-
04-2003,-
05-2003,6.501389195
06-2003,-
07-2003,-
08-2003,2.029524427
09-2003,3.30375116
10-2003,3.426583038
11-2003,3.72609478
12-2003,4.700692232
01-2004,4.961434066
02-2004,-
03-2004,-
04-2004,-
05-2004,6.720006301
06-2004,5.399587631
07-2004,-
08-2004,2.339075339
09-2004,-
10-2004,3.466501513
11-2004,4.024236263
12-2004,5.002544981
01-2005,6.036273179
02-2005,-
03-2005,-
04-2005,-
05-2005,7.139434777
06-2005,8.637504828
07-2005,-
08-2005,1.580529222
09-2005,-
10-2005,-
11-2005,2.988552656
12-2005,-
01-2006,5.310556187
02-2006,-
03-2006,-
04-2006,-
05-2006,8.612413426
06-2006,-
07-2006,-
08-2006,1.727605087
09-2006,-
10-2006,-
11-2006,3.505095704
12-2006,-
01-2007,5.904391463
02-2007,-
03-2007,-
04-2007,-
05-2007,9.570826261
06-2007,-
07-2007,-
08-2007,1.870061022
09-2007,-
10-2007,-
11-2007,3.053749851
12-2007,-
01-2008,5.653603633
02-2008,-
03-2008,-
04-2008,-
05-2008,7.50849845
06-2008,-
07-2008,-
08-2008,2.177192377
09-2008,-
10-2008,-
11-2008,3.92987129
12-2008,-
01-2009,5.54352731
02-2009,-
03-2009,-
04-2009,-
05-2009,8.418584772
06-2009,-
07-2009,-
08-2009,2.034580322
09-2009,-
10-2009,-
11-2009,3.552682114
12-2009,5.558806698
01-2010,5.553743276
02-2010,-
03-2010,-
04-2010,-
05-2010,6.099961123
06-2010,8.02544487
07-2010,-
08-2010,2.20640255
09-2010,-
10-2010,-
11-2010,2.991113095
12-2010,-
01-2011,4.149821619
02-2011,-
03-2011,-
04-2011,-
05-2011,7.358447806
06-2011,-
07-2011,-
08-2011,1.379280016
09-2011,-
10-2011,-
11-2011,3.858040254
12-2011,-
01-2012,3.937996116
02-2012,-
03-2012,-
04-2012,-
05-2012,6.825621823
06-2012,7.228865557
07-2012,0
08-2012,2.550175588
09-2012,2.881577789
10-2012,2.987415723
11-2012,3.048699499
12-2012,5.18730324
01-2013,4.320617376
02-2013,-
03-2013,-
04-2013,-
05-2013,5.464453354
06-2013,6.53794106
07-2013,-
08-2013,0.772674201
09-2013,1.460593536
10-2013,2.08801542
11-2013,3.837208511
12-2013,4.889526431
01-2014,4.154291563
02-2014,-
03-2014,-
04-2014,-
05-2014,7.366914072
06-2014,-
07-2014,-
08-2014,2.08246089
09-2014,-
10-2014,1.768433309
11-2014,3.594040764
12-2014,4.291843948
01-2015,2.822963275
02-2015,-
03-2015,-
04-2015,-
05-2015,7.090030194
06-2015,-
07-2015,8.302513582
08-2015,1.562307235
09-2015,-
10-2015,2.741947858
11-2015,2.909604904
12-2015,4.290953256
01-2016,6.420215271
02-2016,6.119695643
03-2016,-
04-2016,-
05-2016,7.474214317
06-2016,-
07-2016,-
08-2016,3.06522052
09-2016,-
10-2016,3.350703401
11-2016,2.802975391
12-2016,4.399303379
01-2017,5.157345919
02-2017,-
03-2017,-
04-2017,-
05-2017,7.766016302
06-2017,-
07-2017,-
08-2017,2.312717366
09-2017,-
10-2017,-
11-2017,3.771232778
12-2017,4.488173663
01-2018,5.238687042
02-2018,-
03-2018,-
04-2018,-
05-2018,7.058501124
06-2018,-
07-2018,4.988190428
08-2018,1.918106178
09-2018,-
10-2018,3.807451105
11-2018,4.122922905
12-2018,4.017342861
01-2019,4.772246455
02-2019,-
03-2019,-
04-2019,-
05-2019,6.795454163
06-2019,-
07-2019,3.513799193
08-2019,3.015237574
09-2019,1.856542633
10-2019,-
11-2019,3.055539388
12-2019,2.867087069
01-2020,3.233698265
02-2020,-
03-2020,-
04-2020,-
05-2020,-
06-2020,-
07-2020,-
08-2020,-
09-2020,-
10-2020,-
11-2020,-
12-2020,-
01-2021,-
02-2021,-
