Dates,Current Level,Month,year
Dec-93,4.961219538,12,1993
Jan-94,6.067698973,1,
Feb-94,-,2,
Mar-94,-,,
Apr-94,8.582625225,4,
May-94,7.185564529,5,
Jun-94,8.623408485,6,
Jul-94,0.971962926,7,
Aug-94,2.897955167,8,
Sep-94,-,,
Oct-94,2.922320937,10,
Nov-94,2.077940396,11,
Dec-94,-,,
Jan-95,-,,
Feb-95,-,,
Mar-95,-,,
Apr-95,-,,
May-95,-,,
Jun-95,-,,
Jul-95,-,,
Aug-95,-,,
Sep-95,-,,
Oct-95,-,,
Nov-95,-,,
Dec-95,-,,
Jan-96,4.482953272,1,
Feb-96,-,,
Mar-96,-,,
Apr-96,-,,
May-96,7.393985418,5,
Jun-96,-,,
Jul-96,-,,
Aug-96,2.227138053,8,
Sep-96,-,,
Oct-96,-,,
Nov-96,3.804671348,11,
Dec-96,5.910507074,12,
Jan-97,3.894123925,1,
Feb-97,-,,
Mar-97,-,,
Apr-97,-,,
May-97,8.582043333,5,
Jun-97,8.091754103,6,
Jul-97,1.135437477,7,
Aug-97,1.108034604,8,
Sep-97,2.59024265,9,
Oct-97,3.155565931,10,
Nov-97,2.676031512,11,
Dec-97,4.66511756,12,
Jan-98,4.459318835,1,
Feb-98,4.035720536,2,
Mar-98,-,,
Apr-98,-,,
May-98,6.987003206,5,
Jun-98,8.08673714,6,
Jul-98,1.940617656,7,
Aug-98,3.67470253,8,
Sep-98,2.155835825,9,
Oct-98,3.515996844,10,
Nov-98,2.571086556,11,
Dec-98,3.860825345,12,
Jan-99,4.399963876,1,
Feb-99,-,,
Mar-99,-,,
Apr-99,-,,
May-99,6.545095999,5,
Jun-99,8.065757224,6,
Jul-99,2.471444514,7,
Aug-99,1.970499432,8,
Sep-99,2.227138754,9,
Oct-99,3.501974621,10,
Nov-99,3.039222009,11,
Dec-99,4.460549618,12,
Jan-00,5.919249855,1,
Feb-00,-,,
Mar-00,-,,
Apr-00,-,,
May-00,6.680534774,5,
Jun-00,5.932912518,6,
Jul-00,-,,
Aug-00,1.870366781,8,
Sep-00,-,,
Oct-00,4.897739769,10,
Nov-00,2.834880193,11,
Dec-00,7.141786824,12,
1-Jan,5.980182568,1,
1-Feb,-,,
1-Mar,-,,
1-Apr,-,,
1-May,9.186999127,5,
1-Jun,8.020978636,6,
1-Jul,-,,
1-Aug,1.112357509,8,
1-Sep,-,,
1-Oct,4.245957423,10,
1-Nov,4.598763228,11,
1-Dec,5.784605458,12,
2-Jan,6.350546115,1,
2-Feb,-,,
2-Mar,-,,
2-Apr,8.110394985,4,
2-May,8.840942881,5,
2-Jun,7.19231734,6,
2-Jul,-,,
2-Aug,2.66378295,8,
2-Sep,-,,
2-Oct,3.657591949,10,
2-Nov,4.80801521,11,
2-Dec,4.746880126,12,
3-Jan,4.763073863,1,
3-Feb,-,,
3-Mar,-,,
3-Apr,-,,
3-May,6.501389195,5,
3-Jun,-,,
3-Jul,-,,
3-Aug,2.029524427,8,
3-Sep,3.30375116,9,
3-Oct,3.426583038,10,
3-Nov,3.72609478,11,
3-Dec,4.700692232,12,
4-Jan,4.961434066,1,
4-Feb,-,,
4-Mar,-,,
4-Apr,-,,
4-May,6.720006301,5,
4-Jun,5.399587631,6,
4-Jul,-,,
4-Aug,2.339075339,8,
4-Sep,-,,
4-Oct,3.466501513,10,
4-Nov,4.024236263,11,
4-Dec,5.002544981,12,
5-Jan,6.036273179,1,
5-Feb,-,,
5-Mar,-,,
5-Apr,-,,
5-May,7.139434777,5,
5-Jun,8.637504828,6,
5-Jul,-,,
5-Aug,1.580529222,8,
5-Sep,-,,
5-Oct,-,,
5-Nov,2.988552656,11,
5-Dec,-,,
6-Jan,5.310556187,1,
6-Feb,-,,
6-Mar,-,,
6-Apr,-,,
6-May,8.612413426,5,
6-Jun,-,,
6-Jul,-,,
6-Aug,1.727605087,8,
6-Sep,-,,
6-Oct,-,,
6-Nov,3.505095704,11,
6-Dec,-,,
7-Jan,5.904391463,1,
7-Feb,-,,
7-Mar,-,,
7-Apr,-,,
7-May,9.570826261,5,
7-Jun,-,,
7-Jul,-,,
7-Aug,1.870061022,8,
7-Sep,-,,
