Dates,Current Level
1993-12-01,4.961219538
1994-01-01,6.067698973
1994-04-01,8.582625225
1994-05-01,7.185564529
1994-06-01,8.623408485
1994-07-01,0.971962926
1994-08-01,2.897955167
1994-10-01,2.922320937
1994-11-01,2.077940396
1996-01-01,4.482953272
1996-05-01,7.393985418
1996-08-01,2.227138053
1996-11-01,3.804671348
1996-12-01,5.910507074
1997-01-01,3.894123925
1997-05-01,8.582043333
1997-06-01,8.091754103
1997-07-01,1.135437477
1997-08-01,1.108034604
1997-09-01,2.59024265
1997-10-01,3.155565931
1997-11-01,2.676031512
1997-12-01,4.66511756
1998-01-01,4.459318835
1998-02-01,4.035720536
1998-05-01,6.987003206
1998-06-01,8.08673714
1998-07-01,1.940617656
1998-08-01,3.67470253
1998-09-01,2.155835825
1998-10-01,3.515996844
1998-11-01,2.571086556
1998-12-01,3.860825345
1999-01-01,4.399963876
1999-05-01,6.545095999
1999-06-01,8.065757224
1999-07-01,2.471444514
1999-08-01,1.970499432
1999-09-01,2.227138754
1999-10-01,3.501974621
1999-11-01,3.039222009
1999-12-01,4.460549618
2000-01-01,5.919249855
2000-05-01,6.680534774
2000-06-01,5.932912518
2000-08-01,1.870366781
2000-10-01,4.897739769
2000-11-01,2.834880193
2000-12-01,7.141786824
2022-01-01,5.980182568
2022-05-01,9.186999127
2022-06-01,8.020978636
2022-08-01,1.112357509
2022-10-01,4.245957423
2022-11-01,4.598763228
2022-12-01,5.784605458
2022-01-02,6.350546115
2022-04-02,8.110394985
2022-05-02,8.840942881
2022-06-02,7.19231734
2022-08-02,2.66378295
2022-10-02,3.657591949
2022-11-02,4.80801521
2022-12-02,4.746880126
2022-01-03,4.763073863
2022-05-03,6.501389195
2022-08-03,2.029524427
2022-09-03,3.30375116
2022-10-03,3.426583038
2022-11-03,3.72609478
2022-12-03,4.700692232
2022-01-04,4.961434066
2022-05-04,6.720006301
2022-06-04,5.399587631
2022-08-04,2.339075339
2022-10-04,3.466501513
2022-11-04,4.024236263
2022-12-04,5.002544981
2022-01-05,6.036273179
2022-05-05,7.139434777
2022-06-05,8.637504828
2022-08-05,1.580529222
2022-11-05,2.988552656
2022-01-06,5.310556187
2022-05-06,8.612413426
2022-08-06,1.727605087
2022-11-06,3.505095704
2022-01-07,5.904391463
2022-05-07,9.570826261
2022-08-07,1.870061022
2022-11-07,3.053749851
2022-01-08,5.653603633
2022-05-08,7.50849845
2022-08-08,2.177192377
2022-11-08,3.92987129
2022-01-09,5.54352731
2022-05-09,8.418584772
2022-08-09,2.034580322
2022-11-09,3.552682114
2022-12-09,5.558806698
2022-01-10,5.553743276
2022-05-10,6.099961123
2022-06-10,8.02544487
2022-08-10,2.20640255
2022-11-10,2.991113095
2022-01-11,4.149821619
2022-05-11,7.358447806
2022-08-11,1.379280016
2022-11-11,3.858040254
2022-01-12,3.937996116
2022-05-12,6.825621823
2022-06-12,7.228865557
2022-07-12,0
2022-08-12,2.550175588
2022-09-12,2.881577789
2022-10-12,2.987415723
2022-11-12,3.048699499
2022-12-12,5.18730324
2022-01-13,4.320617376
2022-05-13,5.464453354
2022-06-13,6.53794106
2022-08-13,0.772674201
2022-09-13,1.460593536
2022-10-13,2.08801542
2022-11-13,3.837208511
2022-12-13,4.889526431
2022-01-14,4.154291563
2022-05-14,7.366914072
2022-08-14,2.08246089
2022-10-14,1.768433309
2022-11-14,3.594040764
2022-12-14,4.291843948
2022-01-15,2.822963275
2022-05-15,7.090030194
2022-07-15,8.302513582
2022-08-15,1.562307235
2022-10-15,2.741947858
2022-11-15,2.909604904
2022-12-15,4.290953256
2022-01-16,6.420215271
2022-02-16,6.119695643
2022-05-16,7.474214317
2022-08-16,3.06522052
2022-10-16,3.350703401
2022-11-16,2.802975391
2022-12-16,4.399303379
2022-01-17,5.157345919
2022-05-17,7.766016302
2022-08-17,2.312717366
2022-11-17,3.771232778
2022-12-17,4.488173663
2022-01-18,5.238687042
2022-05-18,7.058501124
2022-07-18,4.988190428
2022-08-18,1.918106178
2022-10-18,3.807451105
2022-11-18,4.122922905
2022-12-18,4.017342861
2022-01-19,4.772246455
2022-05-19,6.795454163
2022-07-19,3.513799193
2022-08-19,3.015237574
2022-09-19,1.856542633
2022-11-19,3.055539388
2022-12-19,2.867087069
2022-01-20,3.233698265
