Dates,Current Level
Dec-93,4.961219538
Jan-94,6.067698973
Feb-94,
Mar-94,
Apr-94,8.582625225
May-94,7.185564529
Jun-94,8.623408485
Jul-94,0.971962926
Aug-94,2.897955167
Sep-94,
Oct-94,2.922320937
Nov-94,2.077940396
Dec-94,
Jan-95,
Feb-95,
Mar-95,
Apr-95,
May-95,
Jun-95,
Jul-95,
Aug-95,
Sep-95,
Oct-95,
Nov-95,
Dec-95,
Jan-96,4.482953272
Feb-96,
Mar-96,
Apr-96,
May-96,7.393985418
Jun-96,
Jul-96,
Aug-96,2.227138053
Sep-96,
Oct-96,
Nov-96,3.804671348
Dec-96,5.910507074
Jan-97,3.894123925
Feb-97,
Mar-97,
Apr-97,
May-97,8.582043333
Jun-97,8.091754103
Jul-97,1.135437477
Aug-97,1.108034604
Sep-97,2.59024265
Oct-97,3.155565931
Nov-97,2.676031512
Dec-97,4.66511756
Jan-98,4.459318835
Feb-98,4.035720536
Mar-98,
Apr-98,
May-98,6.987003206
Jun-98,8.08673714
Jul-98,1.940617656
Aug-98,3.67470253
Sep-98,2.155835825
Oct-98,3.515996844
Nov-98,2.571086556
Dec-98,3.860825345
Jan-99,4.399963876
Feb-99,
Mar-99,
Apr-99,
May-99,6.545095999
Jun-99,8.065757224
Jul-99,2.471444514
Aug-99,1.970499432
Sep-99,2.227138754
Oct-99,3.501974621
Nov-99,3.039222009
Dec-99,4.460549618
Jan-00,5.919249855
Feb-00,
Mar-00,
Apr-00,
May-00,6.680534774
Jun-00,5.932912518
Jul-00,
Aug-00,1.870366781
Sep-00,
Oct-00,4.897739769
Nov-00,2.834880193
Dec-00,7.141786824
Jan-01,5.980182568
Feb-01,
Mar-01,
Apr-01,
May-01,9.186999127
Jun-01,8.020978636
Jul-01,
Aug-01,1.112357509
Sep-01,
Oct-01,4.245957423
Nov-01,4.598763228
Dec-01,5.784605458
Jan-02,6.350546115
Feb-02,
Mar-02,
Apr-02,8.110394985
May-02,8.840942881
Jun-02,7.19231734
Jul-02,
Aug-02,2.66378295
Sep-02,
Oct-02,3.657591949
Nov-02,4.80801521
Dec-02,4.746880126
Jan-03,4.763073863
Feb-03,
Mar-03,
Apr-03,
May-03,6.501389195
Jun-03,
Jul-03,
Aug-03,2.029524427
Sep-03,3.30375116
Oct-03,3.426583038
Nov-03,3.72609478
Dec-03,4.700692232
Jan-04,4.961434066
Feb-04,
Mar-04,
Apr-04,
May-04,6.720006301
Jun-04,5.399587631
Jul-04,
Aug-04,2.339075339
Sep-04,
Oct-04,3.466501513
Nov-04,4.024236263
Dec-04,5.002544981
Jan-05,6.036273179
Feb-05,
Mar-05,
Apr-05,
May-05,7.139434777
Jun-05,8.637504828
Jul-05,
Aug-05,1.580529222
Sep-05,
Oct-05,
Nov-05,2.988552656
Dec-05,
Jan-06,5.310556187
Feb-06,
Mar-06,
Apr-06,
May-06,8.612413426
Jun-06,
Jul-06,
Aug-06,1.727605087
Sep-06,
Oct-06,
Nov-06,3.505095704
Dec-06,
Jan-07,5.904391463
Feb-07,
Mar-07,
Apr-07,
May-07,9.570826261
Jun-07,
Jul-07,
Aug-07,1.870061022
Sep-07,
Oct-07,
Nov-07,3.053749851
Dec-07,
Jan-08,5.653603633
Feb-08,
Mar-08,
Apr-08,
May-08,7.50849845
Jun-08,
Jul-08,
Aug-08,2.177192377
Sep-08,
Oct-08,
Nov-08,3.92987129
Dec-08,
Jan-09,5.54352731
Feb-09,
Mar-09,
Apr-09,
May-09,8.418584772
Jun-09,
Jul-09,
Aug-09,2.034580322
Sep-09,
Oct-09,
Nov-09,3.552682114
Dec-09,5.558806698
Jan-10,5.553743276
Feb-10,
Mar-10,
Apr-10,
May-10,6.099961123
Jun-10,8.02544487
Jul-10,
Aug-10,2.20640255
Sep-10,
Oct-10,
Nov-10,2.991113095
Dec-10,
Jan-11,4.149821619
Feb-11,
Mar-11,
Apr-11,
May-11,7.358447806
Jun-11,
Jul-11,
Aug-11,1.379280016
Sep-11,
Oct-11,
Nov-11,3.858040254
Dec-11,
Jan-12,3.937996116
Feb-12,
Mar-12,
Apr-12,
May-12,6.825621823
Jun-12,7.228865557
Jul-12,0
Aug-12,2.550175588
Sep-12,2.881577789
Oct-12,2.987415723
Nov-12,3.048699499
Dec-12,5.18730324
Jan-13,4.320617376
Feb-13,
Mar-13,
Apr-13,
May-13,5.464453354
Jun-13,6.53794106
Jul-13,
Aug-13,0.772674201
Sep-13,1.460593536
Oct-13,2.08801542
Nov-13,3.837208511
Dec-13,4.889526431
Jan-14,4.154291563
Feb-14,
Mar-14,
Apr-14,
May-14,7.366914072
Jun-14,
Jul-14,
Aug-14,2.08246089
Sep-14,
Oct-14,1.768433309
Nov-14,3.594040764
Dec-14,4.291843948
Jan-15,2.822963275
Feb-15,
Mar-15,
Apr-15,
May-15,7.090030194
Jun-15,
Jul-15,8.302513582
Aug-15,1.562307235
Sep-15,
Oct-15,2.741947858
Nov-15,2.909604904
Dec-15,4.290953256
Jan-16,6.420215271
Feb-16,6.119695643
Mar-16,
Apr-16,
May-16,7.474214317
Jun-16,
Jul-16,
Aug-16,3.06522052
Sep-16,
Oct-16,3.350703401
Nov-16,2.802975391
Dec-16,4.399303379
Jan-17,5.157345919
Feb-17,
Mar-17,
Apr-17,
May-17,7.766016302
Jun-17,
Jul-17,
Aug-17,2.312717366
Sep-17,
Oct-17,
Nov-17,3.771232778
Dec-17,4.488173663
Jan-18,5.238687042
Feb-18,
Mar-18,
Apr-18,
May-18,7.058501124
Jun-18,
Jul-18,4.988190428
Aug-18,1.918106178
Sep-18,
Oct-18,3.807451105
Nov-18,4.122922905
Dec-18,4.017342861
Jan-19,4.772246455
Feb-19,
Mar-19,
Apr-19,
May-19,6.795454163
Jun-19,
Jul-19,3.513799193
Aug-19,3.015237574
Sep-19,1.856542633
Oct-19,
Nov-19,3.055539388
Dec-19,2.867087069
Jan-20,3.233698265
Feb-20,
Mar-20,
Apr-20,
May-20,
Jun-20,
Jul-20,
Aug-20,
Sep-20,
Oct-20,
Nov-20,
Dec-20,
Jan-21,
Feb-21,
