District,latitude,longitude,Elevation(m),Soil_Type,Soil_porosity(P_sq),Month,Year,Rainfall,precipitation,temperature,diurnal temp range,vapour pressure,Prev_GWL
Raipur,21.25,81.63,298,silty loamy,0.5,3,1973,6.82,6.5,28.5,14.9,13,6.25
Raipur,21.25,81.63,298,silty loamy,0.5,11,1973,1.3,1.1,22.2,13.2,15.5,3.28
Raipur,21.25,81.63,298,silty loamy,0.5,3,1974,3.26,6.7,29,14.9,13.7,5.8
Raipur,21.25,81.63,298,silty loamy,0.5,6,1974,87.74,179,32.1,10.9,24.8,9.17
Raipur,21.25,81.63,298,silty loamy,0.5,11,1974,9.53,6.8,22.2,13.2,15.4,3.61
Raipur,21.25,81.63,298,silty loamy,0.5,3,1975,8.15,22.7,28,14.9,13.1,7.52
Raipur,21.25,81.63,298,silty loamy,0.5,6,1975,144.39,308,31.2,10.9,23.5,10.46
Raipur,21.25,81.63,298,silty loamy,0.5,11,1975,0.19,1.4,21.5,13.2,15.1,2.96
Raipur,21.25,81.63,298,silty loamy,0.5,3,1976,0.12,15.6,28.2,14.9,13.3,6.02
Raipur,21.25,81.63,298,silty loamy,0.5,6,1976,90.11,115.6,31.7,10.9,24.1,9.74
Raipur,21.25,81.63,298,silty loamy,0.5,11,1976,0.87,12.1,24.7,13.2,18.9,2.94
Raipur,21.25,81.63,298,silty loamy,0.5,3,1977,0.29,10.6,29.2,14.9,14.4,6.29
Raipur,21.25,81.63,298,silty loamy,0.5,6,1977,139.26,208.4,31.7,10.9,24.2,10.1
Raipur,21.25,81.63,298,silty loamy,0.5,11,1977,19.05,26,24.6,13.2,18.4,3.15
Raipur,21.25,81.63,298,silty loamy,0.5,3,1978,16.58,32.5,27.1,14.9,12.1,6.22
Raipur,21.25,81.63,298,silty loamy,0.5,6,1978,151.69,196.8,31.6,10.9,24,9.85
Raipur,21.25,81.63,298,silty loamy,0.5,11,1978,3.83,12.7,24.4,13.2,18,3.16
Raipur,21.25,81.63,298,silty loamy,0.5,3,1979,0.33,4.3,27.3,14.9,12.4,6.08
Raipur,21.25,81.63,298,silty loamy,0.5,6,1979,138.66,221,32.5,10.9,25.8,9.68
Raipur,21.25,81.63,298,silty loamy,0.5,11,1979,4.81,8.4,25.1,13.2,19.3,3.67
Raipur,21.25,81.63,298,silty loamy,0.5,6,1980,230.1,253.7,30.6,10.9,22.4,10.13
Raipur,21.25,81.63,298,silty loamy,0.5,11,1980,0.01,1.2,23.8,13.2,17.1,2.56
Raipur,21.25,81.63,298,silty loamy,0.5,3,1981,59.79,32.5,27.6,14.9,12.7,8.38
Raipur,21.25,81.63,298,silty loamy,0.5,6,1981,93.9,206.7,32.4,10.9,25.8,10.12
Raipur,21.25,81.63,298,silty loamy,0.5,11,1981,0,1.2,22.5,13.2,15.6,3.45
Raipur,21.25,81.63,298,silty loamy,0.5,6,1982,102.98,174.8,31.9,10.9,24.6,9.93
Raipur,21.25,81.63,298,silty loamy,0.5,11,1982,5.72,5,23.4,13.2,17,3.51
Raipur,21.25,81.63,298,silty loamy,0.5,6,1983,91.39,180.6,33.1,10.9,26.6,10.35
Raipur,21.25,81.63,298,silty loamy,0.5,11,1983,0,1.3,21.8,13.2,14.9,2.54
Raipur,21.25,81.63,298,silty loamy,0.5,3,1984,0,5.2,28.2,14.9,13,5.23
Raipur,21.25,81.63,298,silty loamy,0.5,6,1984,309.31,140,31,10.9,23.1,10.13
Raipur,21.25,81.63,298,silty loamy,0.5,11,1984,0.24,1.1,22.1,13.2,15.2,3
Raipur,21.25,81.63,298,silty loamy,0.5,3,1985,0.32,8.3,29.6,14.9,14.5,5.23
Raipur,21.25,81.63,298,silty loamy,0.5,6,1985,159.57,220.9,31.7,10.9,24.8,10.82
Raipur,21.25,81.63,298,silty loamy,0.5,8,1985,338.96,358.4,27.2,6.4,30.1,2.05
Raipur,21.25,81.63,298,silty loamy,0.5,10,1985,29.04,96.9,25.5,10.4,22.4,1.96
Raipur,21.25,81.63,298,silty loamy,0.5,11,1985,0,1.7,22.7,13.2,15.9,2.26
Raipur,21.25,81.63,298,silty loamy,0.5,2,1986,19.94,25.1,23.3,14.4,14,6.61
Raipur,21.25,81.63,298,silty loamy,0.5,5,1986,6.87,17.8,34.7,14.1,17,7.6
Raipur,21.25,81.63,298,silty loamy,0.5,6,1986,373.99,199.2,31.3,10.9,24.3,9.42
Raipur,21.25,81.63,298,silty loamy,0.5,10,1986,37.03,26.1,27,10.4,23.9,2.55
Raipur,21.25,81.63,298,silty loamy,0.5,11,1986,30.71,10.2,23.8,13.2,17.2,2.6
Raipur,21.25,81.63,298,silty loamy,0.5,1,1987,7.14,5.3,20.5,14.2,13,5.2
Raipur,21.25,81.63,298,silty loamy,0.5,2,1987,1.79,7.2,23.2,14.4,14.4,7.55
Raipur,21.25,81.63,298,silty loamy,0.5,3,1987,6.02,22.3,27.5,14.9,12.8,5.87
Raipur,21.25,81.63,298,silty loamy,0.5,5,1987,23.69,23.7,33.7,14.1,16.2,10.02
Raipur,21.25,81.63,298,silty loamy,0.5,6,1987,55.55,145.4,33.3,10.9,26.6,8.47
Raipur,21.25,81.63,298,silty loamy,0.5,10,1987,60.92,47.2,26.8,10.4,24.2,2.48
Raipur,21.25,81.63,298,silty loamy,0.5,11,1987,53.54,12.2,23.6,13.2,17.1,3.09
Raipur,21.25,81.63,298,silty loamy,0.5,2,1988,27.76,5.6,24.3,14.4,14.8,6.69
Raipur,21.25,81.63,298,silty loamy,0.5,3,1988,13.88,14.4,28.6,14.9,13.4,4.35
Raipur,21.25,81.63,298,silty loamy,0.5,5,1988,1.51,19.6,36.1,14.1,19,9.42
Raipur,21.25,81.63,298,silty loamy,0.5,6,1988,175.84,180.5,31.9,10.9,23.9,10.94
Raipur,21.25,81.63,298,silty loamy,0.5,10,1988,23.19,36.4,26.2,10.4,23.1,3.48
Raipur,21.25,81.63,298,silty loamy,0.5,11,1988,0,5.5,22.7,13.2,16,4.21
Raipur,21.25,81.63,298,silty loamy,0.5,2,1989,0,4.2,23.3,14.4,14,7.07
Raipur,21.25,81.63,298,silty loamy,0.5,3,1989,6.17,50.9,27,14.9,12.5,7.79
Raipur,21.25,81.63,298,silty loamy,0.5,5,1989,5.64,20.1,35.5,14.1,17.7,9.91
Raipur,21.25,81.63,298,silty loamy,0.5,6,1989,209.89,182.2,31,10.9,22.9,9.57
Raipur,21.25,81.63,298,silty loamy,0.5,10,1989,7.16,23.7,26.8,10.4,24.1,3.24
Raipur,21.25,81.63,298,silty loamy,0.5,11,1989,0,2.2,23.6,13.2,16.8,3.31
Raipur,21.25,81.63,298,silty loamy,0.5,3,1990,14.14,41.1,27.3,14.9,12.3,6.44
Raipur,21.25,81.63,298,silty loamy,0.5,5,1990,88.17,58.9,33.6,14.1,17.1,6.91
Raipur,21.25,81.63,298,silty loamy,0.5,6,1990,270.12,251.5,30.4,10.9,22.7,7.45
Raipur,21.25,81.63,298,silty loamy,0.5,10,1990,263.38,94.8,26.2,10.4,23.2,2.23
Raipur,21.25,81.63,298,silty loamy,0.5,11,1990,35.37,4.2,23.8,13.2,17.4,2.43
Raipur,21.25,81.63,298,silty loamy,0.5,3,1991,6.62,18,28.7,14.9,13.8,7.17
Raipur,21.25,81.63,298,silty loamy,0.5,4,1991,9.9,12.9,32.1,14.9,14.6,6.29
Raipur,21.25,81.63,298,silty loamy,0.5,5,1991,8.28,18.8,35.4,14.1,18.6,8.87
Raipur,21.25,81.63,298,silty loamy,0.5,6,1991,134.04,174.8,30.9,10.9,23.4,9.29
Raipur,21.25,81.63,298,silty loamy,0.5,9,1991,67.86,142.9,28.2,7.5,30.2,5.83
Raipur,21.25,81.63,298,silty loamy,0.5,10,1991,32.33,29.7,26.9,10.4,24.2,3.39
Raipur,21.25,81.63,298,silty loamy,0.5,11,1991,10.08,10.3,23.3,13.2,16.5,2.94
Raipur,21.25,81.63,298,silty loamy,0.5,2,1992,1.26,4.6,22.6,14.4,13.1,6.99
Raipur,21.25,81.63,298,silty loamy,0.5,3,1992,0.18,6.6,28.9,14.9,14,6.94
Raipur,21.25,81.63,298,silty loamy,0.5,5,1992,7.69,17.3,34.7,14.1,17.3,10.14
Raipur,21.25,81.63,298,silty loamy,0.5,6,1992,148.34,149.7,32.4,10.9,25.4,9.4
Raipur,21.25,81.63,298,silty loamy,0.5,10,1992,4.85,33.7,26.8,10.4,24.2,3.05
Raipur,21.25,81.63,298,silty loamy,0.5,11,1992,6.55,5.5,23.6,13.2,17.2,3.12
Raipur,21.25,81.63,298,silty loamy,0.5,2,1993,4.5,9.4,23.5,14.4,14.5,6.49
Raipur,21.25,81.63,298,silty loamy,0.5,3,1993,2.65,43.2,27.3,14.9,12.3,6.09
Raipur,21.25,81.63,298,silty loamy,0.5,5,1993,6.54,27.1,35.2,14.1,18.1,9.65
Raipur,21.25,81.63,298,silty loamy,0.5,6,1993,136.84,176.3,33,10.9,26.6,7.1
Raipur,21.25,81.63,298,silty loamy,0.5,8,1993,295.95,262.4,27.6,6.4,30.3,0.99
Raipur,21.25,81.63,298,silty loamy,0.5,11,1993,0,2.5,23.2,13.2,16.5,3.22
Raipur,21.25,81.63,298,silty loamy,0.5,12,1993,0,1.9,19.6,14.1,13.1,4.961219538
Raipur,21.25,81.63,298,silty loamy,0.5,1,1994,0.42,9.5,21.2,14.2,13.9,6.067698973
Raipur,21.25,81.63,298,silty loamy,0.5,4,1994,7.19,10.1,31.7,14.9,14.1,8.582625225
Raipur,21.25,81.63,298,silty loamy,0.5,5,1994,4.48,24.5,35.3,14.1,17.9,7.185564529
Raipur,21.25,81.63,298,silty loamy,0.5,6,1994,468.19,154.6,31.2,10.9,23.3,8.623408485
Raipur,21.25,81.63,298,silty loamy,0.5,7,1994,505.47,519.4,26.6,7.1,29.1,0.971962926
Raipur,21.25,81.63,298,silty loamy,0.5,8,1994,383.42,369.2,26.6,6.4,29.6,2.897955167
Raipur,21.25,81.63,298,silty loamy,0.5,10,1994,74.43,82.5,26.8,10.4,24.2,2.922320937
Raipur,21.25,81.63,298,silty loamy,0.5,11,1994,0.54,3.2,23,13.2,16.6,2.077940396
Raipur,21.25,81.63,298,silty loamy,0.5,1,1995,20.89,13.3,19.1,14.2,11.9,4.84
