Month,Year,Temperature (degree centigrate),diurnal temp range (degree centigrate),Precipitation (mm/month),Pressure (Hpa),Previous GWL
12,1993,19.5,14.3,2.1,13,4.96122
1,1994,21.1,14.3,14,13.9,6.067699
4,1994,31.6,15,11.2,13.9,8.582625
5,1994,35.3,14.1,30.2,17.8,7.185565
6,1994,31.1,10.8,157.5,23.2,8.623408
7,1994,26.5,7.1,516.5,29.1,0.971963
8,1994,26.5,6.3,395.8,29.5,2.897955
10,1994,26.7,10.5,70.6,24.1,2.922321
11,1994,22.9,13.3,4.2,16.5,2.07794
1,1996,21.4,14.3,6.2,14.4,4.482953
5,1996,35.6,14.1,8.8,18.5,7.393985
8,1996,26.8,6.3,315.8,29.6,2.227138
11,1996,23.4,13.3,9.4,16.5,3.804671
12,1996,20,14.3,2,13.3,5.910507
1,1997,19.5,14.3,19.3,12.2,3.894124
5,1997,34.2,14.1,20.9,16.7,8.582043
6,1997,32.5,10.8,106.5,25,8.091754
7,1997,27.9,7.1,285.2,31.2,1.135437
8,1997,27.6,6.3,290.8,30.9,1.108035
9,1997,27.8,7.5,193.7,30,2.590243
10,1997,26.5,10.5,41.6,23.6,3.155566
11,1997,24.5,13.3,25.7,18.6,2.676032
12,1997,21.2,14.3,20.5,14.6,4.665118
1,1998,20.9,14.3,11.8,13.4,4.459319
2,1998,23.7,14.5,29.3,14.1,4.035721
5,1998,35.9,14.1,31.7,18.6,6.987003
6,1998,33.3,10.8,139.2,26.3,8.086737
7,1998,28.1,7.1,290,32.1,1.940618
8,1998,27.9,6.3,289.8,31.7,3.674703
9,1998,28.3,7.5,181.7,31,2.155836
10,1998,27.5,10.5,61.1,24.9,3.515997
11,1998,24.4,13.3,31.3,17.6,2.571087
12,1998,20,14.3,1.9,13.4,3.860825
1,1999,19.7,14.3,4.1,12.3,4.399964
5,1999,34.5,14.1,38.2,17,6.545096
6,1999,31.1,10.8,170.2,23.1,8.065757
7,1999,28,7.1,271.2,31.2,2.471445
8,1999,27.2,6.3,513.8,30.2,1.970499
9,1999,27.4,7.5,204.5,29,2.227139
10,1999,27.1,10.5,61.3,24.4,3.501975
11,1999,24,13.3,2.3,16.6,3.039222
12,1999,20.2,14.3,1.9,13.5,4.46055
1,2000,21.3,14.3,3.8,13.7,5.91925
5,2000,34.3,14.1,35.7,16.5,6.680535
6,2000,30.3,10.8,228.6,22.3,5.932913
8,2000,27.6,6.3,301.5,31.5,1.870367
10,2000,28,10.5,20.1,25.7,4.89774
11,2000,24.3,13.3,2.2,17.8,2.83488
12,2000,20.4,14.3,1.9,13.7,7.141787
1,2001,20.6,14.3,7.9,13.1,5.980183
5,2001,35.4,14.1,39.2,17.6,9.186999
6,2001,30.1,10.8,240.8,21.3,8.020979
8,2001,27.4,6.3,411.1,30.9,1.112358
10,2001,27.4,10.5,71.2,24.9,4.245957
11,2001,24.5,13.3,9.3,18.1,4.598763
12,2001,21.1,14.3,1.9,14.5,5.784605
1,2002,20.7,14.3,33.9,13.4,6.350546
4,2002,33.3,15,12.2,15.3,8.110395
5,2002,36.1,14.1,33.4,18.6,8.840943
6,2002,31.8,10.8,218.5,24.2,7.192317
8,2002,26.9,6.3,410.4,29.7,2.663783
10,2002,27.2,10.5,27.2,24.6,3.657592
11,2002,23.5,13.3,2.3,16.9,4.808015
12,2002,21.7,14.3,1.9,14.8,4.74688
1,2003,20.7,14.3,4.2,13.1,4.763074
5,2003,35.7,14.1,8.9,18.4,6.501389
8,2003,27.3,6.3,386.2,30.6,2.029524
9,2003,27.4,7.5,165.3,29.1,3.303751
10,2003,26.6,10.5,70.2,23.9,3.426583
11,2003,24.1,13.3,2.6,17.4,3.726095
12,2003,21.1,14.3,15.4,14.1,4.700692
1,2004,20.1,14.3,43.2,12.7,4.961434
5,2004,34.5,14.1,18.1,17.2,6.720006
6,2004,30.9,10.8,196,22.7,5.399588
8,2004,27,6.3,343.7,29.7,2.339075
10,2004,26.7,10.5,37.2,23.8,3.466502
11,2004,23.8,13.3,4.5,17.1,4.024236
12,2004,21,14.3,1.9,14,5.002545
1,2005,21.1,14.3,24.7,13.6,6.036273
5,2005,34.8,14.1,24.3,17.4,7.139435
6,2005,33.6,10.8,186.9,26.6,8.637505
8,2005,27.6,6.3,292,31,1.580529
11,2005,22.9,13.3,2.6,16,2.988553
1,2006,21.1,14.3,3.8,13.4,5.310556
5,2006,34.4,14.1,43,16.9,8.612413
8,2006,27,6.3,327.3,29.9,1.727605
11,2006,24.1,13.3,14.8,17.6,3.505096
1,2007,20.9,14.3,3.8,13.4,5.904391
5,2007,35.3,14.1,19.5,17.7,9.570826
8,2007,27.5,6.3,365.7,31.2,1.870061
11,2007,23.9,13.3,4.1,17.1,3.05375
1,2008,21.1,14.3,10.5,13.7,5.653604
5,2008,35,14.1,21.3,17.5,7.508498
8,2008,27.2,6.3,334.9,30.6,2.177192
11,2008,24.3,13.3,2.5,17.9,3.929871
1,2009,22.3,14.3,4.3,14.8,5.543527
5,2009,35.2,14.1,37.5,17.8,8.418585
8,2009,28.1,6.3,296,32.2,2.03458
11,2009,24.3,13.3,8.9,17.6,3.552682
12,2009,21.4,14.3,2.5,14.8,5.558807
1,2010,19.9,14.3,18.1,12.4,5.553743
5,2010,35.7,14.1,20.7,18.3,6.099961
6,2010,32.7,10.8,167.8,25.3,8.025445
8,2010,28,6.3,483.2,32,2.206403
11,2010,25.2,13.3,21.2,19,2.991113
1,2011,19.8,14.3,3.8,12.4,4.149822
5,2011,34.9,14.1,36.6,17.4,7.358448
8,2011,27.6,6.3,369.6,31,1.37928
11,2011,24.2,13.3,2.2,17.4,3.85804
1,2012,20.4,14.3,23,13.1,3.937996
5,2012,35.5,14.1,21,18.4,6.825622
6,2012,33.3,10.8,145.2,26.3,7.228866
8,2012,27,6.3,426.4,30,2.550176
9,2012,28,7.5,284.1,30.3,2.881578
10,2012,26.9,10.5,22.7,23.9,2.987416
11,2012,23.2,13.3,8.5,16.4,3.048699
12,2012,21.4,14.3,1.9,14.4,5.187303
1,2013,20.7,14.3,6.5,13.1,4.320617
5,2013,36,14.1,14.4,18.8,5.464453
6,2013,30.2,10.8,352,21.9,6.537941
8,2013,26.9,6.3,338.7,29.9,0.772674
9,2013,28.5,7.5,155.8,30.9,1.460594
10,2013,26.7,10.5,95.7,24,2.088015
11,2013,23,13.3,3,16.3,3.837209
12,2013,20.5,14.3,1.9,13.9,4.889526
1,2014,20.8,14.3,8.3,13.4,4.154292
5,2014,34.2,14.1,29.5,16.8,7.366914
8,2014,28,6.3,287.6,31.7,2.082461
10,2014,27.2,10.5,29.9,24.6,1.768433
11,2014,24.1,13.3,2.6,17.5,3.594041
12,2014,20,14.3,2.1,13.5,4.291844
1,2015,19.6,14.3,5.7,12.6,2.822963
5,2015,35.5,14.1,34.3,18.3,7.09003
7,2015,28,7.1,213.8,32.3,8.302514
8,2015,27.9,6.3,431.1,31.5,1.562307
10,2015,27.9,10.5,18.8,25.7,2.741948
11,2015,24.9,13.3,2.3,18.4,2.909605
12,2015,22,14.3,1.9,15.5,4.290953
1,2016,21.5,14.3,5.6,14.1,6.420215
2,2016,25.5,14.5,9,15.8,6.119696
5,2016,35.1,14.1,18.9,17.8,7.474214
8,2016,27.4,6.3,289.7,30.9,3.065221
10,2016,26.6,10.5,60.4,23.9,3.350703
11,2016,23.2,13.3,2.2,16.6,2.802975
12,2016,20.9,14.3,1.9,14.3,4.399303
1,2017,20.7,14.3,5.6,13.4,5.157346
5,2017,35.7,14.1,30.3,18.5,7.766016
8,2017,27.8,6.3,401.4,31.5,2.312717
11,2017,23.7,13.3,7.3,16.9,3.771233
12,2017,20.9,14.3,2,14.3,4.488174
1,2018,20.5,14.3,3.9,13.3,5.238687
5,2018,35.3,14.1,26.8,17.8,7.058501
7,2018,27.3,7.1,429.2,30.4,4.98819
8,2018,27.1,6.3,364.3,30.2,1.918106
10,2018,27.5,10.5,14.1,24.7,3.807451
11,2018,24.4,13.3,2.2,17.7,4.122923
12,2018,20.1,14.3,7.1,13.6,4.017343
1,2019,19.9,14.3,24.4,12.7,4.772246
5,2019,35.8,14.1,24.3,18.7,6.795454
7,2019,28.2,7.1,513,32.1,3.513799
8,2019,27.4,6.3,493,30.7,3.015238
9,2019,27.6,7.5,358.9,29.5,1.856543
11,2019,24.3,13.3,2.4,17.6,3.055539
12,2019,19.9,14.3,3.4,14,2.867087
12,1993,19.5,14.3,2.1,13,4.96122
1,1994,21.1,14.3,14,13.9,6.067699
4,1994,31.6,15,11.2,13.9,8.582625
5,1994,35.3,14.1,30.2,17.8,7.185565
6,1994,31.1,10.8,157.5,23.2,8.623408
7,1994,26.5,7.1,516.5,29.1,0.971963
8,1994,26.5,6.3,395.8,29.5,2.897955
10,1994,26.7,10.5,70.6,24.1,2.922321
11,1994,22.9,13.3,4.2,16.5,2.07794
1,1996,21.4,14.3,6.2,14.4,4.482953
5,1996,35.6,14.1,8.8,18.5,7.393985
8,1996,26.8,6.3,315.8,29.6,2.227138
11,1996,23.4,13.3,9.4,16.5,3.804671
12,1996,20,14.3,2,13.3,5.910507
1,1997,19.5,14.3,19.3,12.2,3.894124
5,1997,34.2,14.1,20.9,16.7,8.582043
6,1997,32.5,10.8,106.5,25,8.091754
7,1997,27.9,7.1,285.2,31.2,1.135437
8,1997,27.6,6.3,290.8,30.9,1.108035
9,1997,27.8,7.5,193.7,30,2.590243
10,1997,26.5,10.5,41.6,23.6,3.155566
11,1997,24.5,13.3,25.7,18.6,2.676032
12,1997,21.2,14.3,20.5,14.6,4.665118
1,1998,20.9,14.3,11.8,13.4,4.459319
2,1998,23.7,14.5,29.3,14.1,4.035721
5,1998,35.9,14.1,31.7,18.6,6.987003
6,1998,33.3,10.8,139.2,26.3,8.086737
7,1998,28.1,7.1,290,32.1,1.940618
8,1998,27.9,6.3,289.8,31.7,3.674703
9,1998,28.3,7.5,181.7,31,2.155836
10,1998,27.5,10.5,61.1,24.9,3.515997
11,1998,24.4,13.3,31.3,17.6,2.571087
12,1998,20,14.3,1.9,13.4,3.860825
1,1999,19.7,14.3,4.1,12.3,4.399964
5,1999,34.5,14.1,38.2,17,6.545096
6,1999,31.1,10.8,170.2,23.1,8.065757
7,1999,28,7.1,271.2,31.2,2.471445
8,1999,27.2,6.3,513.8,30.2,1.970499
9,1999,27.4,7.5,204.5,29,2.227139
10,1999,27.1,10.5,61.3,24.4,3.501975
11,1999,24,13.3,2.3,16.6,3.039222
12,1999,20.2,14.3,1.9,13.5,4.46055
1,2000,21.3,14.3,3.8,13.7,5.91925
5,2000,34.3,14.1,35.7,16.5,6.680535
6,2000,30.3,10.8,228.6,22.3,5.932913
8,2000,27.6,6.3,301.5,31.5,1.870367
10,2000,28,10.5,20.1,25.7,4.89774
11,2000,24.3,13.3,2.2,17.8,2.83488
12,2000,20.4,14.3,1.9,13.7,7.141787
1,2001,20.6,14.3,7.9,13.1,5.980183
5,2001,35.4,14.1,39.2,17.6,9.186999
6,2001,30.1,10.8,240.8,21.3,8.020979
8,2001,27.4,6.3,411.1,30.9,1.112358
10,2001,27.4,10.5,71.2,24.9,4.245957
11,2001,24.5,13.3,9.3,18.1,4.598763
12,2001,21.1,14.3,1.9,14.5,5.784605
1,2002,20.7,14.3,33.9,13.4,6.350546
4,2002,33.3,15,12.2,15.3,8.110395
5,2002,36.1,14.1,33.4,18.6,8.840943
6,2002,31.8,10.8,218.5,24.2,7.192317
8,2002,26.9,6.3,410.4,29.7,2.663783
10,2002,27.2,10.5,27.2,24.6,3.657592
11,2002,23.5,13.3,2.3,16.9,4.808015
12,2002,21.7,14.3,1.9,14.8,4.74688
1,2003,20.7,14.3,4.2,13.1,4.763074
5,2003,35.7,14.1,8.9,18.4,6.501389
8,2003,27.3,6.3,386.2,30.6,2.029524
9,2003,27.4,7.5,165.3,29.1,3.303751
10,2003,26.6,10.5,70.2,23.9,3.426583
11,2003,24.1,13.3,2.6,17.4,3.726095
12,2003,21.1,14.3,15.4,14.1,4.700692
1,2004,20.1,14.3,43.2,12.7,4.961434
5,2004,34.5,14.1,18.1,17.2,6.720006
6,2004,30.9,10.8,196,22.7,5.399588
8,2004,27,6.3,343.7,29.7,2.339075
10,2004,26.7,10.5,37.2,23.8,3.466502
11,2004,23.8,13.3,4.5,17.1,4.024236
12,2004,21,14.3,1.9,14,5.002545
1,2005,21.1,14.3,24.7,13.6,6.036273
5,2005,34.8,14.1,24.3,17.4,7.139435
6,2005,33.6,10.8,186.9,26.6,8.637505
8,2005,27.6,6.3,292,31,1.580529
11,2005,22.9,13.3,2.6,16,2.988553
1,2006,21.1,14.3,3.8,13.4,5.310556
5,2006,34.4,14.1,43,16.9,8.612413
8,2006,27,6.3,327.3,29.9,1.727605
11,2006,24.1,13.3,14.8,17.6,3.505096
1,2007,20.9,14.3,3.8,13.4,5.904391
5,2007,35.3,14.1,19.5,17.7,9.570826
8,2007,27.5,6.3,365.7,31.2,1.870061
11,2007,23.9,13.3,4.1,17.1,3.05375
1,2008,21.1,14.3,10.5,13.7,5.653604
5,2008,35,14.1,21.3,17.5,7.508498
8,2008,27.2,6.3,334.9,30.6,2.177192
11,2008,24.3,13.3,2.5,17.9,3.929871
1,2009,22.3,14.3,4.3,14.8,5.543527
5,2009,35.2,14.1,37.5,17.8,8.418585
8,2009,28.1,6.3,296,32.2,2.03458
11,2009,24.3,13.3,8.9,17.6,3.552682
12,2009,21.4,14.3,2.5,14.8,5.558807
1,2010,19.9,14.3,18.1,12.4,5.553743
5,2010,35.7,14.1,20.7,18.3,6.099961
6,2010,32.7,10.8,167.8,25.3,8.025445
8,2010,28,6.3,483.2,32,2.206403
11,2010,25.2,13.3,21.2,19,2.991113
1,2011,19.8,14.3,3.8,12.4,4.149822
5,2011,34.9,14.1,36.6,17.4,7.358448
8,2011,27.6,6.3,369.6,31,1.37928
11,2011,24.2,13.3,2.2,17.4,3.85804
1,2012,20.4,14.3,23,13.1,3.937996
5,2012,35.5,14.1,21,18.4,6.825622
6,2012,33.3,10.8,145.2,26.3,7.228866
8,2012,27,6.3,426.4,30,2.550176
9,2012,28,7.5,284.1,30.3,2.881578
10,2012,26.9,10.5,22.7,23.9,2.987416
11,2012,23.2,13.3,8.5,16.4,3.048699
12,2012,21.4,14.3,1.9,14.4,5.187303
1,2013,20.7,14.3,6.5,13.1,4.320617
5,2013,36,14.1,14.4,18.8,5.464453
6,2013,30.2,10.8,352,21.9,6.537941
8,2013,26.9,6.3,338.7,29.9,0.772674
9,2013,28.5,7.5,155.8,30.9,1.460594
10,2013,26.7,10.5,95.7,24,2.088015
11,2013,23,13.3,3,16.3,3.837209
12,2013,20.5,14.3,1.9,13.9,4.889526
1,2014,20.8,14.3,8.3,13.4,4.154292
5,2014,34.2,14.1,29.5,16.8,7.366914
8,2014,28,6.3,287.6,31.7,2.082461
10,2014,27.2,10.5,29.9,24.6,1.768433
11,2014,24.1,13.3,2.6,17.5,3.594041
12,2014,20,14.3,2.1,13.5,4.291844
1,2015,19.6,14.3,5.7,12.6,2.822963
5,2015,35.5,14.1,34.3,18.3,7.09003
7,2015,28,7.1,213.8,32.3,8.302514
8,2015,27.9,6.3,431.1,31.5,1.562307
10,2015,27.9,10.5,18.8,25.7,2.741948
11,2015,24.9,13.3,2.3,18.4,2.909605
12,2015,22,14.3,1.9,15.5,4.290953
1,2016,21.5,14.3,5.6,14.1,6.420215
2,2016,25.5,14.5,9,15.8,6.119696
5,2016,35.1,14.1,18.9,17.8,7.474214
8,2016,27.4,6.3,289.7,30.9,3.065221
10,2016,26.6,10.5,60.4,23.9,3.350703
11,2016,23.2,13.3,2.2,16.6,2.802975
12,2016,20.9,14.3,1.9,14.3,4.399303
1,2017,20.7,14.3,5.6,13.4,5.157346
5,2017,35.7,14.1,30.3,18.5,7.766016
8,2017,27.8,6.3,401.4,31.5,2.312717
11,2017,23.7,13.3,7.3,16.9,3.771233
12,2017,20.9,14.3,2,14.3,4.488174
1,2018,20.5,14.3,3.9,13.3,5.238687
9,1993,19.5,14.3,2.1,13,4.96122
10,1994,21.1,14.3,14,13.9,6.067699
1,1994,31.6,15,11.2,13.9,8.582625
2,1994,35.3,14.1,30.2,17.8,7.185565
3,1994,31.1,10.8,157.5,23.2,8.623408
4,1994,26.5,7.1,516.5,29.1,0.971963
5,1994,26.5,6.3,395.8,29.5,2.897955
7,1994,26.7,10.5,70.6,24.1,2.922321
8,1994,22.9,13.3,4.2,16.5,2.07794
10,1996,21.4,14.3,6.2,14.4,4.482953
2,1996,35.6,14.1,8.8,18.5,7.393985
5,1996,26.8,6.3,315.8,29.6,2.227138
8,1996,23.4,13.3,9.4,16.5,3.804671
9,1996,20,14.3,2,13.3,5.910507
10,1997,19.5,14.3,19.3,12.2,3.894124
2,1997,34.2,14.1,20.9,16.7,8.582043
3,1997,32.5,10.8,106.5,25,8.091754
4,1997,27.9,7.1,285.2,31.2,1.135437
5,1997,27.6,6.3,290.8,30.9,1.108035
6,1997,27.8,7.5,193.7,30,2.590243
7,1997,26.5,10.5,41.6,23.6,3.155566
8,1997,24.5,13.3,25.7,18.6,2.676032
9,1997,21.2,14.3,20.5,14.6,4.665118
10,1998,20.9,14.3,11.8,13.4,4.459319
11,1998,23.7,14.5,29.3,14.1,4.035721
2,1998,35.9,14.1,31.7,18.6,6.987003
3,1998,33.3,10.8,139.2,26.3,8.086737
4,1998,28.1,7.1,290,32.1,1.940618
5,1998,27.9,6.3,289.8,31.7,3.674703
6,1998,28.3,7.5,181.7,31,2.155836
