Month,Year,Temperature (degree centigrate),diurnal temp range (degree centigrate),Precipitation (mm/month),Pressure (Hpa),Previous GWL
12,1993,19.5,14.3,2.1,13,4.961219538
1,1994,21.1,14.3,14,13.9,6.067698973
4,1994,31.6,15,11.2,13.9,8.582625225
5,1994,35.3,14.1,30.2,17.8,7.185564529
6,1994,31.1,10.8,157.5,23.2,8.623408485
7,1994,26.5,7.1,516.5,29.1,0.971962926
8,1994,26.5,6.3,395.8,29.5,2.897955167
10,1994,26.7,10.5,70.6,24.1,2.922320937
11,1994,22.9,13.3,4.2,16.5,2.077940396
1,1996,21.4,14.3,6.2,14.4,4.482953272
5,1996,35.6,14.1,8.8,18.5,7.393985418
8,1996,26.8,6.3,315.8,29.6,2.227138053
11,1996,23.4,13.3,9.4,16.5,3.804671348
12,1996,20,14.3,2,13.3,5.910507074
1,1997,19.5,14.3,19.3,12.2,3.894123925
5,1997,34.2,14.1,20.9,16.7,8.582043333
6,1997,32.5,10.8,106.5,25,8.091754103
7,1997,27.9,7.1,285.2,31.2,1.135437477
8,1997,27.6,6.3,290.8,30.9,1.108034604
9,1997,27.8,7.5,193.7,30,2.59024265
10,1997,26.5,10.5,41.6,23.6,3.155565931
11,1997,24.5,13.3,25.7,18.6,2.676031512
12,1997,21.2,14.3,20.5,14.6,4.66511756
1,1998,20.9,14.3,11.8,13.4,4.459318835
2,1998,23.7,14.5,29.3,14.1,4.035720536
5,1998,35.9,14.1,31.7,18.6,6.987003206
6,1998,33.3,10.8,139.2,26.3,8.08673714
7,1998,28.1,7.1,290,32.1,1.940617656
8,1998,27.9,6.3,289.8,31.7,3.67470253
9,1998,28.3,7.5,181.7,31,2.155835825
10,1998,27.5,10.5,61.1,24.9,3.515996844
11,1998,24.4,13.3,31.3,17.6,2.571086556
12,1998,20,14.3,1.9,13.4,3.860825345
1,1999,19.7,14.3,4.1,12.3,4.399963876
5,1999,34.5,14.1,38.2,17,6.545095999
6,1999,31.1,10.8,170.2,23.1,8.065757224
7,1999,28,7.1,271.2,31.2,2.471444514
8,1999,27.2,6.3,513.8,30.2,1.970499432
9,1999,27.4,7.5,204.5,29,2.227138754
10,1999,27.1,10.5,61.3,24.4,3.501974621
11,1999,24,13.3,2.3,16.6,3.039222009
12,1999,20.2,14.3,1.9,13.5,4.460549618
1,2000,21.3,14.3,3.8,13.7,5.919249855
5,2000,34.3,14.1,35.7,16.5,6.680534774
6,2000,30.3,10.8,228.6,22.3,5.932912518
8,2000,27.6,6.3,301.5,31.5,1.870366781
10,2000,28,10.5,20.1,25.7,4.897739769
11,2000,24.3,13.3,2.2,17.8,2.834880193
12,2000,20.4,14.3,1.9,13.7,7.141786824
1,2001,20.6,14.3,7.9,13.1,5.980182568
5,2001,35.4,14.1,39.2,17.6,9.186999127
6,2001,30.1,10.8,240.8,21.3,8.020978636
8,2001,27.4,6.3,411.1,30.9,1.112357509
10,2001,27.4,10.5,71.2,24.9,4.245957423
11,2001,24.5,13.3,9.3,18.1,4.598763228
12,2001,21.1,14.3,1.9,14.5,5.784605458
1,2002,20.7,14.3,33.9,13.4,6.350546115
4,2002,33.3,15,12.2,15.3,8.110394985
5,2002,36.1,14.1,33.4,18.6,8.840942881
6,2002,31.8,10.8,218.5,24.2,7.19231734
8,2002,26.9,6.3,410.4,29.7,2.66378295
10,2002,27.2,10.5,27.2,24.6,3.657591949
11,2002,23.5,13.3,2.3,16.9,4.80801521
12,2002,21.7,14.3,1.9,14.8,4.746880126
1,2003,20.7,14.3,4.2,13.1,4.763073863
5,2003,35.7,14.1,8.9,18.4,6.501389195
8,2003,27.3,6.3,386.2,30.6,2.029524427
9,2003,27.4,7.5,165.3,29.1,3.30375116
10,2003,26.6,10.5,70.2,23.9,3.426583038
11,2003,24.1,13.3,2.6,17.4,3.72609478
12,2003,21.1,14.3,15.4,14.1,4.700692232
1,2004,20.1,14.3,43.2,12.7,4.961434066
5,2004,34.5,14.1,18.1,17.2,6.720006301
6,2004,30.9,10.8,196,22.7,5.399587631
8,2004,27,6.3,343.7,29.7,2.339075339
10,2004,26.7,10.5,37.2,23.8,3.466501513
11,2004,23.8,13.3,4.5,17.1,4.024236263
12,2004,21,14.3,1.9,14,5.002544981
1,2005,21.1,14.3,24.7,13.6,6.036273179
5,2005,34.8,14.1,24.3,17.4,7.139434777
6,2005,33.6,10.8,186.9,26.6,8.637504828
8,2005,27.6,6.3,292,31,1.580529222
11,2005,22.9,13.3,2.6,16,2.988552656
1,2006,21.1,14.3,3.8,13.4,5.310556187
5,2006,34.4,14.1,43,16.9,8.612413426
8,2006,27,6.3,327.3,29.9,1.727605087
11,2006,24.1,13.3,14.8,17.6,3.505095704
1,2007,20.9,14.3,3.8,13.4,5.904391463
5,2007,35.3,14.1,19.5,17.7,9.570826261
8,2007,27.5,6.3,365.7,31.2,1.870061022
11,2007,23.9,13.3,4.1,17.1,3.053749851
1,2008,21.1,14.3,10.5,13.7,5.653603633
5,2008,35,14.1,21.3,17.5,7.50849845
8,2008,27.2,6.3,334.9,30.6,2.177192377
11,2008,24.3,13.3,2.5,17.9,3.92987129
1,2009,22.3,14.3,4.3,14.8,5.54352731
5,2009,35.2,14.1,37.5,17.8,8.418584772
8,2009,28.1,6.3,296,32.2,2.034580322
11,2009,24.3,13.3,8.9,17.6,3.552682114
12,2009,21.4,14.3,2.5,14.8,5.558806698
1,2010,19.9,14.3,18.1,12.4,5.553743276
5,2010,35.7,14.1,20.7,18.3,6.099961123
6,2010,32.7,10.8,167.8,25.3,8.02544487
8,2010,28,6.3,483.2,32,2.20640255
11,2010,25.2,13.3,21.2,19,2.991113095
1,2011,19.8,14.3,3.8,12.4,4.149821619
5,2011,34.9,14.1,36.6,17.4,7.358447806
8,2011,27.6,6.3,369.6,31,1.379280016
11,2011,24.2,13.3,2.2,17.4,3.858040254
1,2012,20.4,14.3,23,13.1,3.937996116
5,2012,35.5,14.1,21,18.4,6.825621823
6,2012,33.3,10.8,145.2,26.3,7.228865557
8,2012,27,6.3,426.4,30,2.550175588
9,2012,28,7.5,284.1,30.3,2.881577789
10,2012,26.9,10.5,22.7,23.9,2.987415723
11,2012,23.2,13.3,8.5,16.4,3.048699499
12,2012,21.4,14.3,1.9,14.4,5.18730324
1,2013,20.7,14.3,6.5,13.1,4.320617376
5,2013,36,14.1,14.4,18.8,5.464453354
6,2013,30.2,10.8,352,21.9,6.53794106
8,2013,26.9,6.3,338.7,29.9,0.772674201
9,2013,28.5,7.5,155.8,30.9,1.460593536
10,2013,26.7,10.5,95.7,24,2.08801542
11,2013,23,13.3,3,16.3,3.837208511
12,2013,20.5,14.3,1.9,13.9,4.889526431
1,2014,20.8,14.3,8.3,13.4,4.154291563
5,2014,34.2,14.1,29.5,16.8,7.366914072
